station,region,n,field_dep,mdl_near,mismatch,adj_dep,adj_off_m,adj_lon,adj_lat
OA814,W,1,3.5,-1.0,4.5,5.3,189,115.6787,-32.1739
OA81A,OA,3,18.7,19.1,-0.4,18.9,295,115.6957,-32.1407
OA81B,OA,1,17.3,18.9,-1.6,17.4,222,115.7034,-32.1374
OA81C,OA,2,17.1,18.8,-1.7,17.1,257,115.7055,-32.1372
OA81D,OA,1,14.8,17.1,-2.3,14.7,155,115.7051,-32.1362
OA81E,OA,1,11.2,14.3,-3.1,10.8,141,115.7072,-32.1362
OA81G,OA,1,13.9,9.3,4.7,13.7,171,115.7033,-32.1335
OA81H,OA,1,4.7,12.2,-7.6,7.3,184,115.7056,-32.134
OA85,OA,17,9.1,9.2,-0.2,9.1,234,115.679,-32.1367
OA85A,OA,4,8.9,9.0,-0.1,9.0,193,115.6838,-32.142
OA85B,OA,5,19.5,16.9,2.6,20.1,219,115.687,-32.1472
OA85N,OA,2,5.2,4.5,0.6,5.0,105,115.6804,-32.1208
OA88,OA,2,10.2,10.1,0.2,10.1,104,115.669,-32.1364
OA90,OA,10,10.5,10.7,-0.2,10.7,110,115.6592,-32.1377
OA95,NW,15,20.6,19.9,0.7,20.8,228,115.6329,-32.138
OA95W,NW,6,21.5,21.2,0.3,21.2,150,115.63,-32.1366
OA95W2,NW,1,16.8,17.6,-0.8,16.7,230,115.6389,-32.1416
OA95W4,NW,1,11.8,11.1,0.7,11.7,286,115.6441,-32.1398
OA95W6,OA,1,9.3,9.9,-0.6,9.3,159,115.6591,-32.1438
OA95W8,OA,1,9.7,9.4,0.3,9.7,197,115.6645,-32.1457
OA95WA,OA,1,8.9,8.7,0.2,8.8,277,115.6789,-32.148
OA95WC,OA,1,7.9,7.8,0.1,7.8,67,115.6803,-32.15
OA95WE,CS,1,21.5,21.2,0.3,21.5,145,115.6948,-32.1514
OA95WG,CS,1,20.5,21.4,-0.9,20.5,218,115.7051,-32.1502
OA95WI,CS,1,20.7,20.4,0.3,20.7,216,115.7084,-32.1531
OA95WK,CS,1,19.0,18.7,0.2,19.0,279,115.7259,-32.1488
OA95WM,CS,1,10.6,11.0,-0.4,10.5,187,115.7411,-32.1525
OA98,NW,8,12.0,9.8,2.2,12.0,290,115.6469,-32.1373
PK10,OA,7,20.4,20.2,0.2,20.4,138,115.7048,-32.1416
SD10,SW,2,25.6,21.5,4.2,22.8,297,115.6404,-32.2607
SD20,NW,2,21.1,20.7,0.4,20.7,223,115.5978,-32.0676
SD30,NW,1,25.5,25.9,-0.4,25.9,248,115.5643,-32.0679
SD50,NW,2,22.6,20.3,2.3,22.7,298,115.5873,-32.1291
SD55,NW,2,22.4,21.6,0.8,22.4,288,115.6167,-32.136
SD60,NW,2,20.5,20.4,0.1,20.5,165,115.6328,-32.132
SD9,SW,2,25.6,11.1,14.4,13.0,193,115.6392,-32.339
S_G40,OA,1,6.1,14.0,-7.9,13.7,289,115.6976,-32.0804
S_GLI,OA,1,9.5,14.4,-4.9,14.0,228,115.7005,-32.0805
WP10,OA,1,3.8,6.4,-2.6,3.8,299,115.7176,-32.1225
WP15,OA,1,13.4,14.9,-1.5,13.4,291,115.716,-32.1264
WP20,OA,1,3.8,5.9,-2.0,4.2,279,115.7191,-32.1358
WP25,OA,1,9.5,8.4,1.2,8.4,72,115.716,-32.1369
WP5,OA,1,4.8,4.5,0.3,4.9,193,115.7147,-32.1207
WS10,SW,2,25.7,6.3,19.4,10.9,277,115.6844,-32.2977
WS3,SW,2,25.7,13.0,12.6,13.0,131,115.7002,-32.336
WS4,SW,1,25.7,17.2,8.6,17.3,174,115.7221,-32.3373
WS5,SW,1,3.1,4.0,-0.9,3.3,236,115.696,-32.3013
WS7,SW,2,25.8,18.2,7.6,18.5,142,115.7389,-32.3387
Y1,NW,8,23.2,13.9,9.4,16.1,235,115.724,-32.0556
Y11,N,4,36.1,13.5,22.6,13.5,174,115.732,-31.8757
Y12,N,3,36.1,14.0,22.1,14.0,286,115.7189,-31.8742
Y15,N,2,36.0,27.6,8.3,27.6,145,115.6471,-31.8755
Y16,N,3,37.6,30.1,7.5,30.1,247,115.616,-31.8747
Y19,N,3,41.7,30.3,11.4,30.3,283,115.6199,-31.923
Y2,NW,7,27.7,16.0,11.7,16.5,265,115.7207,-32.0264
Y21,N,4,36.0,24.1,11.9,24.1,193,115.6466,-31.9563
Y23,N,3,35.9,15.4,20.6,15.4,177,115.6999,-31.9841
Y24,NW,1,14.1,12.0,2.1,12.0,165,115.7217,-32.001
Y25,NW,12,36.1,13.0,23.1,13.0,148,115.741,-32.0108
Y25PK,NW,1,9.8,9.8,-0.0,9.8,9,115.7339,-32.001
Y26,NW,15,36.0,17.6,18.4,17.6,82,115.7084,-32.0128
Y26PK,NW,1,14.6,15.4,-0.7,15.4,32,115.7012,-32.0013
Y27,NW,19,36.0,19.4,16.7,20.0,276,115.6792,-32.0185
Y27PK,NW,2,12.8,13.0,-0.2,12.7,223,115.6661,-32.0032
Y28,NW,18,36.0,10.4,25.5,13.2,246,115.6484,-32.0213
Y28PK,NW,1,9.2,8.8,0.4,9.2,286,115.6367,-32.019
Y29,NW,18,36.0,10.4,25.6,11.0,277,115.6129,-32.027
Y29PK,NW,1,8.8,9.3,-0.5,8.9,269,115.6034,-32.0197
Y3,NW,12,36.1,13.0,23.1,13.0,148,115.741,-32.0108
Y30,NW,17,36.0,19.9,16.1,19.9,104,115.5829,-32.036
Y30PK,NW,1,17.4,18.1,-0.8,18.1,133,115.5847,-32.0337
Y31,NW,21,42.9,27.3,15.6,27.3,205,115.552,-32.0487
Y31PK,NW,1,23.2,23.4,-0.3,23.4,172,115.5496,-32.0363
Y32,NW,16,56.5,31.2,25.2,31.2,74,115.5288,-32.0593
Y32PK,NW,1,35.8,31.8,4.0,31.8,233,115.5154,-32.0505
Y33N10,NW,5,34.8,32.9,1.9,32.9,132,115.5012,-32.0412
Y33N15,NW,4,26.1,21.0,5.0,21.0,36,115.4996,-32.0251
Y35WPK,NW,1,46.7,45.2,1.5,45.2,231,115.4144,-32.1003
Y38,NW,3,47.1,31.8,15.3,31.8,77,115.5382,-32.118
Y39,NW,6,55.1,33.9,21.2,33.9,297,115.5692,-32.1268
Y39.5BO,NW,1,35.3,34.0,1.3,34.0,253,115.5673,-32.1205
Y39BO,NW,2,29.5,29.4,0.2,29.4,45,115.5798,-32.1234
Y4,NW,2,16.1,12.0,4.1,12.0,165,115.7217,-32.001
Y40,NW,5,35.9,17.8,18.1,19.8,193,115.5904,-32.1306
Y41,NW,6,36.0,22.0,14.0,22.4,181,115.6167,-32.136
Y41BO,NW,1,19.3,19.9,-0.7,19.2,216,115.6361,-32.1358
Y42,NW,4,36.0,9.8,26.2,13.9,291,115.6427,-32.1411
Y42BO,OA,1,8.6,9.3,-0.7,9.0,240,115.6588,-32.1456
Y5,N,5,36.1,12.9,23.2,13.3,239,115.723,-31.9735
Y6,N,5,36.1,13.5,22.7,13.5,116,115.7255,-31.947
Y7,N,5,36.1,10.0,26.1,10.1,281,115.7468,-31.9371
Y8,N,5,36.1,14.9,21.2,14.9,242,115.7276,-31.9226
Y9,N,3,36.1,17.5,18.6,17.5,109,115.7281,-31.8937
YMILLE,NW,1,8.4,9.4,-1.0,8.7,266,115.627,-32.0179
YMILLW,NW,1,8.4,9.3,-0.9,8.9,212,115.6155,-32.021
