station,region,lat,lon,model_lon,model_lat,note
ROTTO,NW,-32.005,115.52,115.52,-32.005,
SD10,SW,-32.259945,115.637322,115.637322,-32.259945,
SD20,NW,-32.06678,115.599993,115.599993,-32.06678,
SD30,NW,-32.066786,115.566656,115.566656,-32.066786,
SD40,NW,-32.116777,115.549987,115.549987,-32.116777,
SD50,NW,-32.126441,115.587825,115.587825,-32.126441,
SD55,NW,-32.133453,115.616658,115.616658,-32.133453,
SD60,NW,-32.133444,115.633323,115.633323,-32.133444,
SD9,SW,-32.338277,115.637329,115.637329,-32.338277,
S_G40,OA,-32.078778,115.699994,115.699994,-32.078778,
S_GLI,OA,-32.079109,115.702331,115.702331,-32.079109,
WP10,OA,-32.125107,115.716659,115.716659,-32.125107,
WP15,OA,-32.128941,115.716658,115.716658,-32.128941,
WP20,OA,-32.134281,115.716657,115.716657,-32.134281,
WP25,OA,-32.137113,115.71666,115.71666,-32.137113,
WP5,OA,-32.120109,115.716665,115.716665,-32.120109,
WS10,SW,-32.299282,115.68666,115.68666,-32.299282,
WS3,SW,-32.33661,115.698999,115.698999,-32.33661,
WS4,SW,-32.338275,115.720661,115.720661,-32.338275,
WS5,SW,-32.299278,115.696665,115.696665,-32.299278,
WS7,SW,-32.339948,115.738997,115.738997,-32.339948,
Y1,NW,-32.056275,115.721656,115.721656,-32.056275,
Y10,N,-31.877941,115.743324,115.743324,-31.877941,
Y11,N,-31.877275,115.731662,115.731662,-31.877275,
Y12,N,-31.87678,115.719162,115.719162,-31.87678,
Y13,N,-31.876776,115.698325,115.698325,-31.876776,
Y14,N,-31.877273,115.679162,115.679162,-31.877273,
Y15,N,-31.876778,115.646662,115.646662,-31.876778,
Y16,N,-31.876274,115.614162,115.614162,-31.876274,
Y17,N,-31.87594,115.584662,115.584662,-31.87594,
Y19,N,-31.920444,115.620322,115.620322,-31.920444,
Y2,NW,-32.028442,115.72216,115.72216,-32.028442,
Y21,N,-31.954615,115.646326,115.646326,-31.954615,
Y23,N,-31.985111,115.701328,115.701328,-31.985111,
Y24,NW,-32.000607,115.723329,115.723329,-32.000607,
Y25,NW,-32.009776,115.739993,115.739993,-32.009776,
Y25PK,NW,-32.001075,115.733993,115.733993,-32.001075,
Y26,NW,-32.013111,115.709159,115.709159,-32.013111,
Y26PK,NW,-32.001408,115.700907,115.700907,-32.001408,
Y27,NW,-32.016447,115.677498,115.677498,-32.016447,
Y27PK,NW,-32.00174,115.667748,115.667748,-32.00174,
Y28,NW,-32.020948,115.645827,115.645827,-32.020948,
Y28PK,NW,-32.017192,115.634575,115.634575,-32.017192,
Y29,NW,-32.026776,115.615828,115.615828,-32.026776,
Y29PK,NW,-32.017779,115.601575,115.601575,-32.017779,
Y3,NW,-32.009776,115.739993,115.739993,-32.009776,
Y30,NW,-32.035113,115.58333,115.58333,-32.035113,
Y30PK,NW,-32.033615,115.583322,115.583322,-32.033615,
Y31,NW,-32.04844,115.554158,115.554158,-32.04844,
Y31PK,NW,-32.034948,115.55041,115.55041,-32.034948,
