set,sim,model,zone,variable,metric,value,n_matched,source
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_RES,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_RES,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_RES,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_RES,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_RES,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_RES,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_RES,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_RES,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_RES,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_RES,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_RES,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_RES,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_SWI,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_SWI,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_SWI,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_SWI,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_SWI,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_SWI,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_PON_SWI,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_OM_SED_FRAC,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_OM_SED_FRAC,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_OM_SED_FRAC,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_OM_SED_FRAC,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_OM_SED_FRAC,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_OM_SED_FRAC,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_OGM_OM_SED_FRAC,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_RESUS,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_RESUS,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_RESUS,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_RESUS,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_RESUS,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_RESUS,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_RESUS,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_D_TAUB,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_D_TAUB,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_D_TAUB,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_D_TAUB,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_D_TAUB,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_D_TAUB,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_NCS_D_TAUB,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_GPP,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_GPP,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_GPP,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_GPP,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_GPP,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_GPP,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_GPP,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_OXY_OXY,BIAS,-0.8539206721501658,77,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_OXY_OXY,MAE,0.12037680792275962,77,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_OXY_OXY,MEF,0.956890313574029,77,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_OXY_OXY,NMAE,0.018783596901208746,77,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_OXY_OXY,NRMS,0.030024181908813716,77,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_OXY_OXY,R,0.9802175334083678,77,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_OXY_OXY,RMS,0.19241336990375277,77,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,SAL,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,SAL,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,SAL,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,SAL,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,SAL,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,SAL,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,SAL,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,TEMP,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,TEMP,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,TEMP,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,TEMP,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,TEMP,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,TEMP,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,TEMP,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_DIAG_TOT_TURBIDITY,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_DIAG_TOT_TURBIDITY,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_DIAG_TOT_TURBIDITY,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_DIAG_TOT_TURBIDITY,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMWest,WQ_DIAG_TOT_TURBIDITY,NRMS,,0,errormatrix.mat
